Teks,Label
opini hindar jebak resesi,Netral
dampak resesi sungguh,Netral
tri bumn fokus menteri presiden joko widodo ketua pssi aku fokus urus ancam resesi rasa indonesia,Positif
resesi,Netral
bacanya awam gampang paham nggak pakai  tinggi resesa resesi ono mbatin jg ngaruh phk susah anjlok startup bangkrut mahal phk susah anjlok startup bangkrut  mahal miskin khawatir panik miskin khawatir panik pikir jg coba wakil rakyat anggota partai sandung korupsi bubar dpr partai nya,Negatif
wes kroso rung resesi ne,Netral
astagfirullah bisa yaweslah bahagia tengah resesi gin yaudah gapapa,Positif
resesi susah mahal,Negatif
wdyt resesi,Netral
limpah sda indonesia bantu indonesia lewat masamasa resesi,Positif
bisnis cuan resesi patut coba,Positif
sda bantu indonesia lewat masamasa resesi ketua kadin,Positif
resesi safety sda indonesia milik ketua kadin,Positif
limpah sda peluang indonesia tahan masa resesi imi,Positif
limpah sda indonesia syukur karna jalan tahan resesi ketua kadin,Positif
proyeksi resesi ekonomi dunia ekonomi amerika serikat soft landing ekonomi eropa resilien hantam naik harga energi lengkap,Positif
negara resesi,Netral
transformasi digital umkm ancam resesi,Positif
kerja anti resesi,Positif
ken nyuruh anak wedok stan abis biar jd pegawai pajak kemenkeu jd pns gaji sultan hahaha umur hidup tanggung negara kena resesi,Netral
ngapusii,Netral
bu sri mulyani gagal indonesia udh kena resesilawak,Netral
moga kena resesi,Netral
gejalagejala resesi hilang kuat prediksi inflasi global capai level ikut naik suku bunga anjlok  acu bank sentral negaranegara maju akibat indonesia rasa dampak,Negatif
peran kerja migran indonesia pmi ekonomi bangsa isu resesi global hello young economist negara bahan dunia indonesia hadap ancam resesi prediksi,Netral
warren buffett panik finansial resesi dunia parah mahal anjlok phk,Negatif
bisnis cuan resesi patut coba,Positif
ngomongin resesi abis ngerencanain libur malay tuh gimana konsep,Netral
resesi resesi bodoamat hambur duit,Netral
piye lur wes keroso resesi,Netral
indonesia mantap goyang resesi dunia,Positif
siap mehadapi resesi dunia,Positif
resesi resesi,Netral
pulih china tantang tanda risiko resesi sirna,Netral
negara maju tdk resesi yng menkeu sri mulyani dgn investor minat utk investasi startup bangkrut ikn indonesia tuan rumah g bgt sgt gencar lobi negara maju utk investasi ikn,Negatif
the kena resesi,Netral
sri mulyani ekonomi global banding prediksi resesi,Positif
menteri uang sri mulyani optimistis resesi negara maju kerap prediksi,Positif
lepas kerja keras kemenkeu keras jaga momentum ekonomi ketidakpastian dunia dampak resesi landa dunia kondisi ekonomi indonesia kuat,Positif
perintah hadap resesi global,Positif
breaking news kabar menkeu sri mulyani ekonomi global balik arah negara as resesi ekonomi krisis ekonomi ekonomi indonesia kuat amp inflasi turun,Positif
chairul tanjung bicara proyeksi ekonomi indonesia resesi,Positif
aamiin moga resesi tdk,Netral
resesi tlg jgn buang makan bg,Netral
menkeu bu sri mulyani economic outlook ekonomi dunia balik positif inih harap as alami resesi ekonomi global smangkin,Netral
gegara resesi mahal phk,Negatif
resesi definisi jelas,Netral
nang bareng saham saham anjlok bc bn madir not paid off reseh resesi phk bangkrut,Negatif
komunitas bandar lampung antusias ikut kelas pintar resesi global,Positif
siap mehadapi resesi dunia,Positif
perhati serius perintah umkm selamat indonesia resesi,Positif
kt lihat fomc mendtg khawatir pasar dunia ttg inflasi tdk mdh turun us sebab fed paksa ering likuiditas bs arah resesi global lbh parah ttg angka rate mmg ramai prediksi pasar sbg turning point tekan inflasi jgn smpai phk bangkrut anjlok ,Negatif
lho kaget sing bilang berita gembira as lolos resesi iku sopo yooooo,Positif
tahan serang resesi,Positif
indeks dividen jumbo bagi resesi global,Netral
syukur batal resesi,Netral
kemarin bilang resesi,Netral
ct lihat peluang ekonomi dunia lolos lubang resesi,Netral
